Model Year,Brand Name,Model Name,Engine capacity,Spare key,Transmission,KM driven,Ownership,Fuel type,Imperfections,Repainted Parts
2016,Maruti,Celerio ZXI AMT,998,No,Automatic,42692,1,Petrol,14,3
2017,Maruti,Baleno ZETA PETROL 1.2,1197,Yes,Manual,94021,2,Petrol,3,0
2023,Maruti,XL6 ZETA CNG,1462,Yes,Manual,32447,1,CNG,1,0
2019,Maruti,New Wagon-R LXI CNG 1.0,998,Yes,Manual,86195,1,CNG,3,2
2023,Maruti,XL6 ALPHA PLUS MT,1462,Yes,Manual,21398,1,Petrol,2,2
2013,Maruti,Swift Dzire VDI,1248,Yes,Manual,40081,1,Diesel,8,14
2020,Maruti,New Wagon-R LXI CNG 1.0,998,Yes,Manual,57184,1,CNG,3,2
2016,Maruti,Vitara Brezza ZDI PLUS DUAL TONE,1248,Yes,Manual,72213,1,Diesel,13,3
2021,Maruti,Baleno ZETA CVT PETROL 1.2,1197,Yes,Automatic,16690,1,Petrol,4,2
2018,Maruti,Baleno DELTA CVT PETROL 1.2,1197,Yes,Automatic,33974,1,Petrol,8,4
2022,Maruti,BREZZA ZXI SMART HYBRID,1462,Yes,Manual,18859,1,Petrol,6,0
2021,Maruti,New Wagon-R ZXI 1.2 AMT,1197,Yes,Automatic,26550,1,Petrol,2,8
2020,Maruti,Dzire ZXI PLUS AMT,1197,Yes,Automatic,56042,2,Petrol,13,4
2022,Maruti,New Wagon-R VXI 1.0 AMT,998,Yes,Automatic,28720,1,Petrol,4,0
2017,Maruti,Baleno ZETA CVT PETROL 1.2,1197,No,Automatic,113814,2,Petrol,7,5
2014,Maruti,Wagon R 1.0 LXI CNG,998,Yes,Manual,81895,1,CNG,6,5
2017,Maruti,Baleno ZETA DIESEL 1.3,1248,Yes,Manual,107690,2,Diesel,6,3
2017,Maruti,Celerio ZXI AMT,998,Yes,Automatic,33857,2,Petrol,9,0
2016,Maruti,Baleno DELTA PETROL 1.2,1197,Yes,Manual,43273,1,Petrol,16,3
2018,Maruti,Ciaz ALPHA AT 1.5 SHVS PETROL,1462,Yes,Automatic,57301,1,Petrol,6,4
2016,Maruti,Ciaz VXI,1373,No,Manual,99639,1,Petrol,14,0
2018,Maruti,Baleno ALPHA CVT PETROL 1.2,1197,Yes,Automatic,15600,1,Petrol,4,4
2018,Maruti,Baleno ZETA CVT PETROL 1.2,1197,Yes,Automatic,43313,1,Petrol,2,5
2013,Maruti,Swift ZXI,1197,No,Manual,42338,1,Petrol,22,8
2015,Maruti,Alto 800 LXI CNG,796,Yes,Manual,68920,2,CNG,11,6
2017,Maruti,Dzire LXI,1197,Yes,Manual,89378,2,Petrol,8,8
2016,Maruti,Swift VXI O,1197,No,Manual,35970,1,Petrol,23,4
2016,Maruti,Celerio ZXI,998,Yes,Manual,33655,1,Petrol,23,0
2016,Maruti,Ciaz VDI SHVS,1248,Yes,Manual,96990,1,Diesel,5,2
2015,Maruti,Ertiga VXI CNG,1373,No,Manual,52143,3,CNG,18,5
2015,Maruti,Wagon R 1.0 VXI AMT,998,Yes,Automatic,95214,1,Petrol,21,0
2016,Maruti,Baleno DELTA CVT PETROL 1.2,1197,Yes,Automatic,34019,1,Petrol,15,2
2017,Maruti,Vitara Brezza VDI,1248,No,Manual,53293,1,Diesel,25,3
2015,Maruti,Baleno ZETA DIESEL 1.3,1248,Yes,Manual,56687,1,Diesel,9,6
2022,Maruti,BREZZA ZXI SMART HYBRID,1462,Yes,Manual,5377,1,Petrol,1,1
2021,Maruti,Alto LXI,796,Yes,Manual,26866,1,Petrol,8,9
2014,Maruti,Ertiga VXI CNG,1373,Yes,Manual,62157,2,CNG,16,6
2023,Maruti,New Wagon-R LXI 1.0,998,Yes,Manual,1958,1,Petrol,4,0
2019,Maruti,Baleno DELTA CVT PETROL 1.2,1197,Yes,Automatic,16547,2,Petrol,3,9
2017,Maruti,Wagon R 1.0 LXI CNG,998,Yes,Manual,57012,2,CNG,13,2
2016,Maruti,Celerio ZXI AMT,998,Yes,Automatic,76727,1,Petrol,17,3
2021,Maruti,Ciaz DELTA 1.5 SHVS MT PETROL,1462,Yes,Manual,30926,1,Petrol,3,2
2018,Maruti,Baleno ALPHA CVT PETROL 1.2,1197,Yes,Automatic,44613,2,Petrol,5,8
2015,Maruti,Celerio VXI AMT,998,Yes,Automatic,73092,2,Petrol,29,1
2014,Maruti,Swift VXI,1197,No,Manual,53120,1,Petrol,5,3
2017,Maruti,Wagon R 1.0 VXI,998,No,Manual,22280,1,Petrol,6,1
2014,Maruti,Wagon R 1.0 LXI CNG,998,No,Manual,99498,2,CNG,19,2
2017,Maruti,Wagon R 1.0 LXI CNG,998,Yes,Manual,56359,2,CNG,9,4
2019,Maruti,Celerio VXI CNG,998,Yes,Manual,35436,1,CNG,3,3
2013,Maruti,Wagon R Stingray VXI,998,No,Manual,35954,1,Petrol,25,3
2016,Maruti,Swift Dzire VXI,1197,No,Manual,49757,2,Petrol,27,4
2020,Maruti,S Cross ALPHA AT SMART HYBRID,1462,Yes,Automatic,29624,1,Petrol,2,0
2020,Maruti,S PRESSO VXI CNG,998,No,Manual,66992,1,CNG,4,2
2015,Maruti,Wagon R 1.0 VXI,998,No,Manual,28048,2,Petrol,16,4
2015,Maruti,Ertiga ZDI,1248,No,Manual,74875,1,Diesel,17,10
2018,Maruti,Ciaz ZETA 1.5 SHVS MT PETROL,1462,Yes,Manual,18001,1,Petrol,12,1
2021,Maruti,Ciaz SIGMA 1.5 SHVS MT PETROL,1462,Yes,Manual,16909,1,Petrol,8,0
2017,Maruti,Swift VXI,1197,No,Manual,57535,2,Petrol,16,0
2017,Maruti,IGNIS DELTA 1.2,1197,No,Manual,56219,2,CNG,27,0
2015,Maruti,Wagon R 1.0 VXI,998,No,Manual,16624,1,Petrol,5,2
2017,Maruti,Baleno DELTA PETROL 1.2,1197,Yes,Manual,62669,1,Petrol,20,4
2013,Maruti,Swift Dzire ZDI,1248,Yes,Manual,120050,1,Diesel,25,16
2018,Maruti,Wagon R 1.0 LXI CNG,998,Yes,Manual,98745,1,CNG,12,4
2021,Maruti,New Wagon-R ZXI 1.2 AMT,1197,Yes,Automatic,34224,1,Petrol,1,3
2021,Maruti,Baleno ZETA PETROL 1.2,1197,Yes,Manual,14955,1,Petrol,1,1
2012,Maruti,Swift Dzire ZXI,1197,Yes,Manual,60719,1,Petrol,22,4
2015,Maruti,Baleno ALPHA DIESEL 1.3,1248,Yes,Manual,59958,2,Diesel,16,2
2018,Maruti,Baleno ALPHA CVT PETROL 1.2,1197,Yes,Automatic,33155,2,Petrol,4,0
2013,Maruti,Wagon R 1.0 VXI,998,No,Manual,45304,1,Petrol,13,12
2013,Maruti,Ertiga ZXI,1373,Yes,Manual,41016,2,Petrol,14,4
2015,Maruti,Ertiga ZXI,1373,Yes,Manual,48033,1,Petrol,19,1
2019,Maruti,S PRESSO VXI PLUS AMT,998,Yes,Automatic,21125,1,Petrol,9,0
2021,Maruti,New Wagon-R VXI (O) 1.2,1197,Yes,Manual,19528,2,Petrol,4,0
2020,Maruti,Ciaz ALPHA AT 1.5 SHVS PETROL,1462,Yes,Automatic,23697,1,Petrol,23,3
2012,Maruti,Wagon R 1.0 VXI,998,No,Manual,43569,2,Petrol,19,2
2019,Maruti,Baleno ZETA CVT PETROL 1.2,1197,Yes,Automatic,24684,1,Petrol,3,0
2015,Maruti,Wagon R 1.0 VXI,998,No,Manual,34384,1,Petrol,12,0
2022,Maruti,S PRESSO VXI+,998,Yes,Manual,10815,1,Petrol,9,0
2017,Maruti,Baleno DELTA PETROL 1.2,1197,No,Manual,29835,1,Petrol,5,6
2021,Maruti,New Wagon-R LXI CNG (O) 1.0,998,Yes,Manual,13106,1,CNG,7,3
2021,Maruti,S PRESSO VXI (O) CNG,998,No,Manual,48375,1,CNG,1,2
2019,Maruti,New Wagon-R VXI (O) 1.2,1197,Yes,Manual,25824,1,Petrol,0,0
2017,Maruti,Wagon R 1.0 VXI AMT,998,Yes,Automatic,84486,1,Petrol,1,0
2019,Maruti,IGNIS ALPHA 1.2,1197,Yes,Manual,22343,2,Petrol,14,2
2019,Maruti,Ciaz DELTA AT 1.5 SHVS PETROL,1462,No,Automatic,54408,2,Petrol,13,4
2017,Maruti,IGNIS ZETA 1.2 AMT DUAL TONE,1197,No,Automatic,38048,2,Petrol,22,2
2017,Maruti,IGNIS DELTA 1.2,1197,Yes,Manual,30176,1,Petrol,10,4
2017,Maruti,Baleno DELTA PETROL 1.2,1197,Yes,Manual,30064,2,Petrol,4,1
2021,Maruti,Ciaz DELTA AT 1.5 SHVS PETROL,1462,Yes,Automatic,29291,1,Petrol,2,0
2014,Maruti,Celerio VXI AMT,998,No,Automatic,98502,1,Petrol,0,0
2021,Maruti,New Wagon-R LXI CNG 1.0,998,Yes,Manual,23233,1,CNG,9,4
2022,Maruti,New Wagon-R ZXI 1.2,1197,Yes,Manual,20987,1,Petrol,1,0
2017,Maruti,IGNIS ZETA 1.2 AMT DUAL TONE,1197,Yes,Automatic,19428,2,Petrol,3,4
2021,Maruti,Ciaz ALPHA AT 1.5 SHVS PETROL,1462,Yes,Automatic,33706,1,Petrol,22,1
2021,Maruti,Ciaz DELTA AT 1.5 SHVS PETROL,1462,No,Automatic,16992,1,Petrol,4,2
2020,Maruti,S PRESSO VXI CNG,998,Yes,Manual,37608,1,CNG,11,0
2014,Maruti,Swift Dzire ZDI,1248,Yes,Manual,11144,1,Diesel,13,7
2017,Maruti,Wagon R 1.0 VXI OPT,998,Yes,Manual,43944,2,Petrol,14,0
2014,Maruti,Wagon R 1.0 LXI CNG,998,No,Manual,105898,2,CNG,30,0
2017,Maruti,Wagon R 1.0 VXI,998,No,Manual,34793,1,Petrol,16,0
2021,Maruti,New Wagon-R LXI CNG 1.0,998,Yes,Manual,30981,1,CNG,5,3
2014,Maruti,Wagon R 1.0 LXI CNG,998,Yes,Manual,95135,1,CNG,0,0
2021,Maruti,New Wagon-R LXI CNG (O) 1.0,998,Yes,Manual,36188,1,CNG,8,1
2023,Maruti,New Wagon-R VXI 1.0 AMT,998,Yes,Automatic,3883,1,Petrol,1,0
2020,Maruti,Ciaz ALPHA AT 1.5 SHVS PETROL,1462,Yes,Automatic,31176,1,Petrol,7,3
2018,Maruti,Swift VXI AMT,1197,Yes,Automatic,77150,1,Petrol,13,2
2023,Maruti,XL6 ZETA CNG,1462,Yes,Manual,21141,1,CNG,0,0
2020,Maruti,New Wagon-R LXI CNG 1.0,998,Yes,Manual,25230,1,CNG,5,3
2014,Maruti,Swift VXI,1197,Yes,Manual,29876,1,Petrol,20,6
2015,Maruti,Swift VXI,1197,Yes,Manual,76928,2,Petrol,9,3
2018,Maruti,Dzire VXI AMT,1197,Yes,Automatic,51852,1,Petrol,15,3
2017,Maruti,Wagon R 1.0 VXI,998,No,Manual,19081,1,Petrol,32,2
2012,Maruti,Wagon R 1.0 VXI,998,No,Manual,42531,2,Petrol,22,0
2017,Maruti,Baleno ALPHA DIESEL 1.3,1248,Yes,Manual,73649,1,Diesel,19,1
2019,Maruti,New Wagon-R VXI 1.2,1197,Yes,Manual,11829,2,Petrol,10,4
2016,Maruti,Ertiga VXI,1373,No,Manual,43851,1,Petrol,1,0
2014,Maruti,Wagon R 1.0 LXI,998,Yes,Manual,67447,1,Petrol,16,3
2014,Maruti,Ertiga VDI,1248,Yes,Manual,119998,2,Diesel,18,5
2023,Maruti,BREZZA ZXI SMART HYBRID,1462,Yes,Manual,10234,1,Petrol,0,0
2021,Maruti,New Wagon-R VXI 1.2,1197,Yes,Manual,18693,1,Petrol,9,2
2019,Maruti,Baleno ZETA CVT PETROL 1.2,1197,Yes,Automatic,16282,2,Petrol,2,2
2021,Maruti,New Wagon-R LXI CNG 1.0,998,Yes,Manual,27051,1,CNG,8,1
2020,Maruti,S PRESSO VXI (O) AMT,998,Yes,Automatic,13440,1,Petrol,13,0
2021,Maruti,New Wagon-R LXI CNG (O) 1.0,998,Yes,Manual,39613,1,CNG,16,3
2022,Maruti,IGNIS ZETA 1.2,1197,Yes,Manual,6992,1,Petrol,1,2
2014,Maruti,Wagon R 1.0 VXI,998,Yes,Manual,42307,1,Petrol,11,0
2017,Maruti,Alto 800 LXI CNG,796,Yes,Manual,83469,1,CNG,2,5
2022,Maruti,XL6 ALPHA AT,1462,Yes,Automatic,24494,1,Petrol,1,0
2021,Maruti,XL6 ALPHA MT,1462,Yes,Manual,48740,1,Petrol,0,0
2015,Maruti,Ciaz ZXI,1373,Yes,Manual,85633,1,Petrol,7,0
2022,Maruti,Ertiga ZXI (O) CNG,1373,No,Manual,20619,1,CNG,1,0
2014,Maruti,Alto 800 LXI,796,No,Manual,40783,1,Petrol,3,2
2014,Maruti,Alto K10 VXI,998,Yes,Manual,31827,2,Petrol,12,4
2015,Maruti,Swift Dzire VXI,1197,No,Manual,84530,1,Petrol,18,1
2017,Maruti,Baleno ZETA PETROL 1.2,1197,Yes,Manual,49544,2,Petrol,25,2
2020,Maruti,Baleno DELTA PETROL 1.2,1197,No,Manual,33723,1,Petrol,9,0
2014,Maruti,Swift VXI,1197,Yes,Manual,69389,1,Petrol,10,6
2013,Maruti,Swift Dzire VXI,1197,Yes,Manual,33244,1,Petrol,7,6
2017,Maruti,Swift Dzire ZXI,1197,Yes,Manual,34196,1,Petrol,1,0
2017,Maruti,Alto 800 LXI CNG O,796,No,Manual,76356,1,CNG,8,9
2016,Maruti,Ciaz ZXI+ AT,1373,Yes,Automatic,90742,1,Petrol,9,3
2015,Maruti,Alto K10 VXI,998,No,Manual,51243,2,Petrol,6,1
2014,Maruti,Celerio VXI AMT,998,No,Automatic,76296,1,Petrol,18,3
2018,Maruti,Wagon R 1.0 LXI CNG,998,Yes,Manual,48605,2,CNG,10,2
2020,Maruti,New Wagon-R VXI 1.2,1197,Yes,Manual,20785,1,Petrol,3,1
2014,Maruti,Wagon R 1.0 VXI,998,Yes,Manual,53375,1,Petrol,8,1
2016,Maruti,Baleno DELTA DIESEL 1.3,1248,Yes,Manual,62767,1,Diesel,9,1
2015,Maruti,Ertiga VXI CNG,1373,No,Manual,31504,1,CNG,10,4
2017,Maruti,Celerio ZXI,998,No,Manual,27882,1,Petrol,16,4
2014,Maruti,Swift Dzire VXI,1197,Yes,Manual,42022,1,Petrol,13,7
2017,Maruti,Celerio VXI CNG,998,No,Manual,79682,1,CNG,17,1
2017,Maruti,Wagon R 1.0 VXI AMT,998,Yes,Automatic,65289,1,Petrol,13,0
2013,Maruti,Wagon R 1.0 LXI CNG,998,No,Manual,80601,1,CNG,28,9
2014,Maruti,Celerio VXI AMT,998,Yes,Automatic,32718,1,Petrol,15,0
2017,Maruti,Baleno ZETA CVT PETROL 1.2,1197,No,Automatic,77650,1,Petrol,25,8
2021,Maruti,Baleno ZETA CVT PETROL 1.2,1197,Yes,Automatic,14683,1,Petrol,1,0
2013,Maruti,Wagon R 1.0 LXI CNG,998,No,Manual,75349,2,CNG,13,5
2021,Maruti,New Wagon-R LXI CNG 1.0,998,Yes,Manual,13032,1,CNG,4,0
2022,Maruti,S PRESSO VXI (O) CNG,998,No,Manual,31772,1,CNG,3,0
2018,Maruti,IGNIS ZETA 1.2 AMT,1197,Yes,Automatic,76787,2,Petrol,6,1
2016,Maruti,Ertiga VXI,1373,Yes,Manual,69763,1,CNG,12,3
2016,Maruti,Alto 800 LXI,796,Yes,Manual,45935,2,Petrol,19,1
2020,Maruti,New Wagon-R LXI CNG 1.0,998,Yes,Manual,12950,2,CNG,7,2
2016,Maruti,Celerio VXI CNG,998,No,Manual,90267,2,CNG,14,1
2017,Maruti,Baleno DELTA PETROL 1.2,1197,No,Manual,35708,1,Petrol,8,6
2013,Maruti,Wagon R 1.0 LXI,998,No,Manual,44009,1,Petrol,8,2
2016,Maruti,Swift VXI,1197,Yes,Manual,71405,1,Petrol,6,2
2014,Maruti,Swift VXI,1197,Yes,Manual,17595,2,Petrol,0,0
2019,Maruti,Alto VXI,796,Yes,Manual,8064,1,Petrol,5,2
2013,Maruti,Alto 800 LXI CNG,796,Yes,Manual,90913,1,CNG,9,14
2021,Maruti,New Wagon-R LXI CNG (O) 1.0,998,Yes,Manual,51151,1,CNG,3,1
2013,Maruti,Swift VXI,1197,No,Manual,87034,2,Petrol,0,0
2017,Maruti,Celerio ZXI,998,Yes,Manual,60005,3,Petrol,4,13
2022,Maruti,S PRESSO VXI+,998,Yes,Manual,16213,1,Petrol,0,0
2013,Maruti,Alto K10 LXI,998,Yes,Manual,18101,1,Petrol,0,0
2015,Maruti,Wagon R 1.0 VXI,998,No,Manual,56620,1,Petrol,6,1
2022,Maruti,IGNIS DELTA 1.2,1197,Yes,Manual,7097,1,Petrol,1,0
2017,Maruti,Dzire ZXI AMT,1197,Yes,Automatic,37274,1,Petrol,8,2
2023,Maruti,BREZZA VXI SMART HYBRID,1462,Yes,Manual,21217,1,Petrol,1,2
2018,Maruti,IGNIS DELTA 1.2,1197,No,Manual,54728,1,Petrol,22,17
2015,Maruti,Swift Dzire VXI,1197,Yes,Manual,96263,1,Petrol,0,0
2011,Maruti,Alto K10 VXI,998,No,Manual,123621,2,Petrol,25,6
2015,Maruti,Alto K10 VXI AMT,998,No,Automatic,30634,1,Petrol,10,6
2018,Maruti,IGNIS SIGMA 1.2,1197,Yes,Manual,57747,1,Petrol,26,5
2016,Maruti,Swift VXI,1197,Yes,Manual,52736,1,Petrol,12,5
2016,Maruti,Swift ZXI,1197,Yes,Manual,64434,2,Petrol,17,8
2017,Maruti,Swift VXI,1197,No,Manual,42316,2,Petrol,0,0
2017,Maruti,Baleno ZETA PETROL 1.2,1197,Yes,Manual,110283,2,Petrol,7,4
2017,Maruti,Alto K10 LXI CNG (AIRBAG),998,Yes,Manual,98581,2,CNG,0,0
2018,Maruti,Celerio VXI CNG,998,No,Manual,90082,2,CNG,0,0
2018,Maruti,Dzire VDI AMT,1248,Yes,Automatic,100984,1,Diesel,0,0
2018,Maruti,Dzire VDI,1248,No,Manual,83762,2,Diesel,0,0
2019,Maruti,Baleno DELTA PETROL 1.2,1197,Yes,Manual,39639,2,Petrol,19,12
2014,Maruti,Celerio ZXI,998,No,Manual,37678,1,Petrol,18,5
2017,Maruti,Wagon R 1.0 VXI (O) AMT,998,Yes,Automatic,70769,2,Petrol,17,7
2019,Maruti,Celerio ZXI,998,No,Manual,37817,1,Petrol,7,5
2013,Maruti,Swift VXI,1197,No,Manual,88376,1,Petrol,0,0
2017,Maruti,Alto K10 VXI,998,Yes,Manual,32701,1,Petrol,4,2
2021,Maruti,XL6 ZETA MT,1462,Yes,Manual,19967,1,Petrol,2,0
2015,Maruti,Celerio ZXI (O),998,Yes,Manual,27204,1,Petrol,16,4
2013,Maruti,Swift Dzire ZDI,1248,Yes,Manual,96999,1,Diesel,11,4
2017,Maruti,Celerio ZXI AMT (O),998,Yes,Automatic,67082,1,Petrol,1,12
2019,Maruti,IGNIS DELTA 1.2,1197,No,Manual,69689,1,Petrol,13,6
2020,Maruti,Baleno DELTA CVT PETROL 1.2,1197,Yes,Automatic,32117,2,Petrol,16,3
2019,Maruti,Celerio VXI CNG,998,Yes,Manual,59169,1,CNG,0,0
2014,Maruti,Swift Dzire VXI,1197,No,Manual,63296,1,Petrol,0,0
2020,Maruti,IGNIS ZETA 1.2 AMT,1197,No,Automatic,58158,1,Petrol,6,6
2017,Maruti,Swift VXI,1197,Yes,Manual,116084,1,Petrol,0,0
2017,Maruti,Baleno ALPHA PETROL 1.2,1197,Yes,Manual,69911,2,Petrol,6,3
2011,Maruti,Swift Dzire ZXI,1197,Yes,Manual,39721,2,Petrol,18,14
2014,Maruti,Alto K10 LXI,998,No,Manual,53066,1,Petrol,13,4
2020,Maruti,New Wagon-R VXI 1.0 AMT,998,Yes,Automatic,52105,1,Petrol,9,2
2017,Maruti,Ciaz SIGMA 1.4 MT PETROL,1373,No,Manual,51872,1,Petrol,7,9
2021,Maruti,Celerio ZXI (O),998,Yes,Manual,38233,1,Petrol,13,2
2013,Maruti,Swift Dzire VDI,1248,Yes,Manual,100777,1,Diesel,20,9
2022,Maruti,Baleno ALPHA 1.2 AGS,1197,Yes,Automatic,27338,1,Petrol,3,0
2013,Maruti,Wagon R 1.0 LXI,998,No,Manual,75649,2,Petrol,0,0
2020,Maruti,Ciaz DELTA 1.5 SHVS MT PETROL,1462,No,Manual,63804,1,Petrol,7,5
2019,Maruti,New Wagon-R ZXI 1.2 AMT,1197,Yes,Automatic,71773,1,Petrol,6,6
2017,Maruti,Alto 800 LXI,796,No,Manual,69275,1,Petrol,0,0
2012,Maruti,Alto K10 VXI,998,Yes,Manual,72136,2,Petrol,15,7
2020,Maruti,Celerio VXI (O) CNG,998,Yes,Manual,37683,1,CNG,11,4
2022,Maruti,Vitara Brezza ZXI PLUS AT SHVS,1462,Yes,Automatic,11953,1,Petrol,11,0
2012,Maruti,Wagon R 1.0 LXI CNG,998,Yes,Manual,105803,1,CNG,14,0
2020,Maruti,S PRESSO VXI CNG,998,Yes,Manual,41534,1,CNG,6,4
2022,Maruti,IGNIS DELTA 1.2,1197,Yes,Manual,11679,1,Petrol,7,2
2018,Maruti,Baleno ALPHA PETROL 1.2,1197,Yes,Manual,44226,1,Petrol,4,8
2018,Maruti,Celerio VXI (O) CNG,998,No,Manual,108085,2,CNG,20,9
2023,Maruti,BREZZA ZXI SMART HYBRID DUAL TONE,1462,Yes,Manual,8892,1,Petrol,0,0
2020,Maruti,Ciaz ALPHA AT 1.5 SHVS PETROL,1462,Yes,Automatic,28539,1,Petrol,15,2
2016,Maruti,Ciaz VXI,1373,Yes,Manual,39516,1,Petrol,11,7
2017,Maruti,Alto K10 VXI (O) AMT,998,Yes,Automatic,51875,2,Petrol,7,5
2015,Maruti,Ciaz ZXI AT,1373,No,Automatic,80161,2,Petrol,14,7
2016,Maruti,Wagon R 1.0 VXI,998,Yes,Manual,78845,1,Petrol,8,2
2016,Maruti,Celerio ZXI AMT,998,Yes,Automatic,94780,2,Petrol,15,11
2019,Maruti,Celerio VXI AMT,998,Yes,Automatic,36411,2,Petrol,9,0
2015,Maruti,Ciaz VXI+,1373,Yes,Manual,77033,2,Petrol,12,7
2022,Maruti,S PRESSO VXI (O) CNG,998,Yes,Manual,20971,1,CNG,5,1
2020,Maruti,S PRESSO VXI PLUS AMT,998,Yes,Automatic,17104,1,Petrol,3,1
